filename,filepath,agency,document_type
statement-of-multiple-county-use-of-vehicle-reg-6004.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/statement-of-multiple-county-use-of-vehicle-reg-6004.pdf,DMV,form
traffic-violator-school-foreign-language-approval-request.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/traffic-violator-school-foreign-language-approval-request.pdf,DMV,form
motorized-bicycle-instructions-application-reg-230.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/motorized-bicycle-instructions-application-reg-230.pdf,DMV,form
request-for-vehicle-vessel-automated-record-information-inf-1123.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/request-for-vehicle-vessel-automated-record-information-inf-1123.pdf,DMV,form
renewal-list.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/renewal-list.pdf,DMV,form
traffic-violator-school-branch-business-office-classroom-application-ol-712-pdf.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/traffic-violator-school-branch-business-office-classroom-application-ol-712-pdf.pdf,DMV,form
notification-of-class-schedule-ol-854e.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/notification-of-class-schedule-ol-854e.pdf,DMV,form
notice-of-change-of-address.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/notice-of-change-of-address.pdf,DMV,form
salvage-vehicle-notice-of-retention-by-owner-reg-481.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/salvage-vehicle-notice-of-retention-by-owner-reg-481.pdf,DMV,form
notice-of-intent-to-dispose-of-a-vehicle-valued-500-or-less-removed-by-a-public-agency-for-reasons-other-than-abandonment-reg-684.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/notice-of-intent-to-dispose-of-a-vehicle-valued-500-or-less-removed-by-a-public-agency-for-reasons-other-than-abandonment-reg-684.pdf,DMV,form
application-for-disabled-person-placard-or-plates-reg-195.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/application-for-disabled-person-placard-or-plates-reg-195.pdf,DMV,form
sample-license-plate-order-form-reg-580.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/sample-license-plate-order-form-reg-580.pdf,DMV,form
official-school-class-cancellation-for-standard-emergency-notification-ol-749.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/official-school-class-cancellation-for-standard-emergency-notification-ol-749.pdf,DMV,form
business-partner-automation-renewal-application-reg-5056.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/business-partner-automation-renewal-application-reg-5056.pdf,DMV,form
verification-authorization-thai-dl-93-th.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/verification-authorization-thai-dl-93-th.pdf,DMV,form
occupational-licensing-section-notification-of-commercial-skills-test-schedule-ol-810.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/occupational-licensing-section-notification-of-commercial-skills-test-schedule-ol-810.pdf,DMV,form
notification-of-alternative-forms-of-financial-responsibility-reg-5085.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/notification-of-alternative-forms-of-financial-responsibility-reg-5085.pdf,DMV,form
occupational-license-notice-of-reinstatement-ol-4008.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/occupational-license-notice-of-reinstatement-ol-4008.pdf,DMV,form
application-for-return-of-non-resident-plates-reg-356.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/application-for-return-of-non-resident-plates-reg-356.pdf,DMV,form
traffic-violator-school-quarterly-report-ol-850.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/traffic-violator-school-quarterly-report-ol-850.pdf,DMV,form
application-for-vessel-certificate-of-number-boat-101.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/application-for-vessel-certificate-of-number-boat-101.pdf,DMV,form
request-for-closure-of-employer-pull-notice-account-form-and-instructions-inf-1112.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/request-for-closure-of-employer-pull-notice-account-form-and-instructions-inf-1112.pdf,DMV,form
permanent-fleet-registration-addition-deletion-mc-495-p.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/permanent-fleet-registration-addition-deletion-mc-495-p.pdf,DMV,form
annual-report-of-autonomous-vehicle-disengagement-ol-311r.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/annual-report-of-autonomous-vehicle-disengagement-ol-311r.pdf,DMV,form
motor-carrier-permit-application-instruction-dmv-706.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/motor-carrier-permit-application-instruction-dmv-706.pdf,DMV,form
traffic-violator-school-voluntary-attendance-consumer-disclosure-statement-ol-732.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/traffic-violator-school-voluntary-attendance-consumer-disclosure-statement-ol-732.pdf,DMV,form
attorneys-information-request-vehicle-vessel-related-incidents-only-inf-1161e.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/attorneys-information-request-vehicle-vessel-related-incidents-only-inf-1161e.pdf,DMV,form
application-for-authorization-to-issue-student-license-ol-804.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/application-for-authorization-to-issue-student-license-ol-804.pdf,DMV,form
autonomous-vehicle-tester-avt-program-application-for-certificate-of-self-insurance-ol-319.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/autonomous-vehicle-tester-avt-program-application-for-certificate-of-self-insurance-ol-319.pdf,DMV,form
application-for-replacement-or-transfer-vessel-title.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/application-for-replacement-or-transfer-vessel-title.pdf,DMV,form
ol-400.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/ol-400.pdf,DMV,form
bill-of-sale-reg-135-pdf.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/bill-of-sale-reg-135-pdf.pdf,DMV,form
non-repairable-vehicle-notice-of-retention-by-owner-reg-480.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/non-repairable-vehicle-notice-of-retention-by-owner-reg-480.pdf,DMV,form
notice-of-pending-lien-sale-for-vessels-or-vessel-trailers-valued-at-1500-or-less-boat-156.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/notice-of-pending-lien-sale-for-vessels-or-vessel-trailers-valued-at-1500-or-less-boat-156.pdf,DMV,form
dealer-education-certificate-issuance-log-pre-licensing-ol-4005.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/dealer-education-certificate-issuance-log-pre-licensing-ol-4005.pdf,DMV,form
state-agency-sponsored-specialized-license-plate-application-reg-5102.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/state-agency-sponsored-specialized-license-plate-application-reg-5102.pdf,DMV,form
school-bus-registration-or-permit-application-reg-123.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/school-bus-registration-or-permit-application-reg-123.pdf,DMV,form
eeo-discrimination-complaint-confidential-exec-50.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/eeo-discrimination-complaint-confidential-exec-50.pdf,DMV,form
financial-responsibility-information-request-sr-19c.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/financial-responsibility-information-request-sr-19c.pdf,DMV,form
autonomous-vehicle-deployment-checklist-ol-321c.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/autonomous-vehicle-deployment-checklist-ol-321c.pdf,DMV,form
vehicle-vessel-or-off-highway-vehicle-title-deposit-agreement-and-assignment-reg-5059.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/vehicle-vessel-or-off-highway-vehicle-title-deposit-agreement-and-assignment-reg-5059.pdf,DMV,form
dui-program-signatory-authority-dl-101s.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/dui-program-signatory-authority-dl-101s.pdf,DMV,form
dealer-statement-of-facts-reg-477.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/dealer-statement-of-facts-reg-477.pdf,DMV,form
declaration-of-gvw-cgw-reg-4008-pdf.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/declaration-of-gvw-cgw-reg-4008-pdf.pdf,DMV,form
statement-to-record-ownership-reg-101.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/statement-to-record-ownership-reg-101.pdf,DMV,form
ignition-interlock-device-iid-medical-exemption-request-dl-4063.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/ignition-interlock-device-iid-medical-exemption-request-dl-4063.pdf,DMV,form
certification-of-agency-inf-1184.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/certification-of-agency-inf-1184.pdf,DMV,form
certificate-of-facts-re-unsatisfied-judgment.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/certificate-of-facts-re-unsatisfied-judgment.pdf,DMV,form
certification-of-lien-sale-for-vessel-or-vessel-with-trailer-valued-over-1500-boat-178.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/certification-of-lien-sale-for-vessel-or-vessel-with-trailer-valued-over-1500-boat-178.pdf,DMV,form
application-for-title-or-registration-verification-of-vehicle-reg-343.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/application-for-title-or-registration-verification-of-vehicle-reg-343.pdf,DMV,form
notice-of-pending-lien-sale-for-vessels-or-vessel-trailers-valued-at-1500-or-less-boat-156-2.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/notice-of-pending-lien-sale-for-vessels-or-vessel-trailers-valued-at-1500-or-less-boat-156-2.pdf,DMV,form
vessel-agent-supply-order-form-ol-857.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/vessel-agent-supply-order-form-ol-857.pdf,DMV,form
california-identification-card-renewal-by-mail-eligibility-dl-410-id.pdf,/content/drive/MyDrive/newstart_ai/data/raw/dmv/california-identification-card-renewal-by-mail-eligibility-dl-410-id.pdf,DMV,form
