filename,filepath,agency,form_number,document_type
CMS-1763-508C.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/CMS-1763-508C.pdf,SSA,,form
CMS-L564_SP508.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/CMS-L564_SP508.pdf,SSA,,form
SSA-8-SP.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/SSA-8-SP.pdf,SSA,SSA-8-SP,form
cms-40b-508c-2025-rev-38.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/cms-40b-508c-2025-rev-38.pdf,SSA,,form
cms-40b-s-508c.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/cms-40b-s-508c.pdf,SSA,,form
cms-l564-508c.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/cms-l564-508c.pdf,SSA,,form
fss4.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/fss4.pdf,SSA,,form
fss4sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/fss4sp.pdf,SSA,,form
fw4v.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/fw4v.pdf,SSA,,form
ha-4608.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-4608.pdf,SSA,,form
ha-4631.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-4631.pdf,SSA,,form
ha-4632.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-4632.pdf,SSA,,form
ha-4633.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-4633.pdf,SSA,,form
ha-501.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-501.pdf,SSA,,form
ha-510.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-510.pdf,SSA,,form
ha-510sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-510sp.pdf,SSA,,form
ha-520.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-520.pdf,SSA,,form
ha-520sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-520sp.pdf,SSA,,form
ha-539-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-539-sp.pdf,SSA,,form
ha-539.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-539.pdf,SSA,,form
ha-85.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-85.pdf,SSA,,form
ha-86-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-86-sp.pdf,SSA,,form
ha-86.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-86.pdf,SSA,,form
ha-l90.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ha-l90.pdf,SSA,,form
ss-5-am-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-am-inst.pdf,SSA,SS-5-AM-INST,instructions
ss-5-ar-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-ar-inst.pdf,SSA,SS-5-AR-INST,instructions
ss-5-ch-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-ch-inst.pdf,SSA,SS-5-CH-INST,instructions
ss-5-chs-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-chs-inst.pdf,SSA,SS-5-CHS-INST,instructions
ss-5-fa-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-fa-inst.pdf,SSA,SS-5-FA-INST,instructions
ss-5-fr-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-fr-inst.pdf,SSA,SS-5-FR-INST,instructions
ss-5-gr-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-gr-inst.pdf,SSA,SS-5-GR-INST,instructions
ss-5-hc-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-hc-inst.pdf,SSA,SS-5-HC-INST,instructions
ss-5-it-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-it-inst.pdf,SSA,SS-5-IT-INST,instructions
ss-5-kor-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-kor-inst.pdf,SSA,SS-5-KOR-INST,instructions
ss-5-pe-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-pe-inst.pdf,SSA,SS-5-PE-INST,instructions
ss-5-po-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-po-inst.pdf,SSA,SS-5-PO-INST,instructions
ss-5-ru-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-ru-inst.pdf,SSA,SS-5-RU-INST,instructions
ss-5-so-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-so-inst.pdf,SSA,SS-5-SO-INST,instructions
ss-5-tl-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-tl-inst.pdf,SSA,SS-5-TL-INST,instructions
ss-5-ua-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-ua-inst.pdf,SSA,SS-5-UA-INST,instructions
ss-5-vi-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5-vi-inst.pdf,SSA,SS-5-VI-INST,instructions
ss-5.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5.pdf,SSA,SS-5,form
ss-5fs.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5fs.pdf,SSA,SS-5FS,form
ss-5sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ss-5sp.pdf,SSA,SS-5SP,form
ssa-1-bk-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1-bk-sp.pdf,SSA,SSA-1-BK-SP,form
ssa-1-bk.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1-bk.pdf,SSA,SSA-1-BK,form
ssa-10-bk-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-10-bk-sp.pdf,SSA,SSA-10-BK-SP,form
ssa-10-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-10-inst.pdf,SSA,SSA-10-INST,instructions
ssa-10.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-10.pdf,SSA,SSA-10,form
ssa-1021-inst-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1021-inst-sp.pdf,SSA,SSA-1021-INST-SP,instructions
ssa-1021-inst.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1021-inst.pdf,SSA,SSA-1021-INST,instructions
ssa-1021-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1021-sp.pdf,SSA,SSA-1021-SP,form
ssa-1021.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1021.pdf,SSA,SSA-1021,form
ssa-131.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-131.pdf,SSA,SSA-131,form
ssa-1372-bk-fc-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1372-bk-fc-sp.pdf,SSA,SSA-1372-BK-FC-SP,form
ssa-1372.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1372.pdf,SSA,SSA-1372,form
ssa-1372bkfc.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1372bkfc.pdf,SSA,SSA-1372BKFC,form
ssa-1383-fc.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1383-fc.pdf,SSA,SSA-1383-FC,form
ssa-1383.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1383.pdf,SSA,SSA-1383,form
ssa-1391.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1391.pdf,SSA,SSA-1391,form
ssa-1458.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1458.pdf,SSA,SSA-1458,form
ssa-150.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-150.pdf,SSA,SSA-150,form
ssa-1560.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-1560.pdf,SSA,SSA-1560,form
ssa-16-bk-sp.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-16-bk-sp.pdf,SSA,SSA-16-BK-SP,form
ssa-16-bk.pdf,/content/drive/MyDrive/newstart_ai/data/raw/ssa/ssa-16-bk.pdf,SSA,SSA-16-BK,form
