filename,filepath,agency,form_number,document_type
i-765ws.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-765ws.pdf,USCIS,I-765,form
i-361instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-361instr.pdf,USCIS,I-361,instructions
i-508instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-508instr.pdf,USCIS,I-508,instructions
g-1566instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1566instr.pdf,USCIS,G-1566,instructions
i-129s.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129s.pdf,USCIS,I-129,form
n-470.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-470.pdf,USCIS,N-470,form
g-28iinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-28iinstr.pdf,USCIS,G-28,instructions
i-600ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-600ainstr.pdf,USCIS,I-600,instructions
i-800asup2.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800asup2.pdf,USCIS,I-800,supplement
i-129cwrinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129cwrinstr.pdf,USCIS,I-129,instructions
i-881instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-881instr.pdf,USCIS,I-881,instructions
i-602instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-602instr.pdf,USCIS,I-602,instructions
i-134instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-134instr.pdf,USCIS,I-134,instructions
n-600k.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-600k.pdf,USCIS,N-600,form
I-589%20Instructions_DAR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_DAR.pdf,USCIS,I-589,instructions
m-737.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/m-737.pdf,USCIS,M-737,form
i-589instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-589instr.pdf,USCIS,I-589,instructions
i-129cwinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129cwinstr.pdf,USCIS,I-129,instructions
g-845instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-845instr.pdf,USCIS,G-845,instructions
g-845.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-845.pdf,USCIS,G-845,form
i-131.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-131.pdf,USCIS,I-131,form
g-1041instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1041instr.pdf,USCIS,G-1041,instructions
g-28.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-28.pdf,USCIS,G-28,form
g-1450instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1450instr.pdf,USCIS,G-1450,instructions
i-508.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-508.pdf,USCIS,I-508,form
I-589%20Form%20with%20Watermark_FR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_FR.pdf,USCIS,I-589,form
i-918.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-918.pdf,USCIS,I-918,form
n-300.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-300.pdf,USCIS,N-300,form
I-589%20Form%20with%20Watermark_VI.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_VI.pdf,USCIS,I-589,form
i-129instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129instr.pdf,USCIS,I-129,instructions
i-90instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-90instr.pdf,USCIS,I-90,instructions
i-690instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-690instr.pdf,USCIS,I-690,instructions
i-914.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-914.pdf,USCIS,I-914,form
I-589%20Instructions_RU.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_RU.pdf,USCIS,I-589,instructions
n-644instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-644instr.pdf,USCIS,N-644,instructions
i-212.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-212.pdf,USCIS,I-212,form
i-854b.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-854b.pdf,USCIS,I-854,form
n-426instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-426instr.pdf,USCIS,N-426,instructions
i-914supb.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-914supb.pdf,USCIS,I-914,supplement
i-751instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-751instr.pdf,USCIS,I-751,instructions
i-102instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-102instr.pdf,USCIS,I-102,instructions
I-589%20Instructions_SO.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_SO.pdf,USCIS,I-589,instructions
i-956g.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956g.pdf,USCIS,I-956,form
i-134.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-134.pdf,USCIS,I-134,form
i-824instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-824instr.pdf,USCIS,I-824,instructions
g-1651.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1651.pdf,USCIS,G-1651,form
i-130.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-130.pdf,USCIS,I-130,form
i-212instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-212instr.pdf,USCIS,I-212,instructions
i-129cwr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129cwr.pdf,USCIS,I-129,form
g-1256instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1256instr.pdf,USCIS,G-1256,instructions
I-140Ginstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-140Ginstr.pdf,USCIS,I-140,instructions
i-821.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-821.pdf,USCIS,I-821,form
I-589%20Form%20with%20Watermark_SO.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_SO.pdf,USCIS,I-589,form
i-956finstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956finstr.pdf,USCIS,I-956,instructions
i-694.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-694.pdf,USCIS,I-694,form
I-589%20Form%20with%20Watermark_ES.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_ES.pdf,USCIS,I-589,translated_form
i-690sup1.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-690sup1.pdf,USCIS,I-690,supplement
i-602.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-602.pdf,USCIS,I-602,form
I-589%20Instructions_TUR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_TUR.pdf,USCIS,I-589,instructions
i-910.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-910.pdf,USCIS,I-910,form
m-736.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/m-736.pdf,USCIS,M-736,form
i-907.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-907.pdf,USCIS,I-907,form
i-612instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-612instr.pdf,USCIS,I-612,instructions
i-800.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800.pdf,USCIS,I-800,form
i-600asup1.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-600asup1.pdf,USCIS,I-600,supplement
i-129cw.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129cw.pdf,USCIS,I-129,form
i-539instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-539instr.pdf,USCIS,I-539,instructions
n-565instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-565instr.pdf,USCIS,N-565,instructions
ar-11.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/ar-11.pdf,USCIS,AR-11,form
i-590.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-590.pdf,USCIS,I-590,form
i-698.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-698.pdf,USCIS,I-698,form
